id,2012,2014,2015,2016,2017,2018,2019,2020,2022
AUT,44.90,38.00,44.00,38.20,33.10,21.80,25.60,25.50,31.80
BIH,0.00,0.00,0.00,0.00,0.00,58.80,34.10,30.80,35.50
BEL,51.70,62.30,54.00,41.50,43.90,39.60,34.30,41.20,31.50
BGR,65.80,69.60,68.80,60.80,51.80,57.60,58.40,64.20,54.00
CYP,74.30,61.60,55.60,64.90,58.80,50.80,56.30,58.80,45.50
CZE,52.80,43.80,40.80,33.70,32.60,20.70,20.00,23.60,23.00
DEU,0.00,45.60,0.00,0.00,40.70,35.90,29.20,33.90,23.40
DNK,62.30,58.20,58.10,49.20,39.50,39.20,39.70,41.90,38.20
EST,64.80,51.00,49.10,41.50,42.70,43.20,39.30,39.90,33.00
GRC,75.10,74.40,66.00,71.60,52.50,45.30,62.30,65.10,39.00
ESP,71.70,88.80,86.00,83.40,77.00,75.30,73.50,76.30,67.20
FIN,58.70,60.30,64.60,47.40,41.30,39.50,33.60,40.80,40.90
FRA,57.70,58.80,57.80,56.90,57.60,45.90,42.90,42.10,38.20
HRV,67.40,76.60,65.50,53.10,41.50,43.40,40.20,32.50,31.70
HUN,64.60,66.80,53.30,46.90,45.00,40.40,42.90,43.40,38.90
IRL,48.10,49.20,48.10,45.50,49.10,51.10,45.60,47.00,40.70
ISL,65.50,68.60,0.00,0.00,75.60,0.00,0.00,84.80,0.00
ITA,74.90,70.20,69.30,69.10,60.30,50.50,46.10,45.20,38.70
LTU,57.40,54.60,53.50,45.30,55.00,60.50,53.20,41.10,37.80
LUX,45.80,41.50,40.90,38.60,34.60,29.20,31.40,33.40,29.10
LVA,70.00,61.00,54.90,53.20,49.60,43.50,55.00,51.90,40.80
MKD,71.80,60.80,64.80,61.10,0.00,0.00,0.00,44.30,0.00
MLT,52.70,53.20,48.30,54.00,28.50,26.50,32.70,33.20,30.70
NLD,53.20,49.20,47.00,42.80,38.90,30.80,31.00,29.90,29.60
NOR,53.50,62.90,68.00,77.50,72.80,58.20,55.30,50.50,48.80
POL,55.60,71.40,67.70,68.70,68.40,63.30,53.80,56.60,53.50
PRT,82.10,83.80,79.40,67.50,68.90,65.40,53.40,55.50,38.60
ROU,71.30,64.70,65.50,63.70,67.10,55.40,9.90,33.60,41.40
SRB,0.00,76.20,0.00,0.00,56.50,56.50,44.30,56.30,46.10
SWE,47.80,53.90,52.60,49.70,44.60,40.10,27.80,44.70,38.10
SVN,73.70,48.50,48.60,37.20,42.00,34.50,33.80,30.70,22.00
SVK,57.20,63.40,53.80,48.60,48.70,40.00,45.80,40.90,48.60
GBR,60.60,61.00,61.20,66.20,53.50,50.20,50.30,50.20,0.00
MNE,0.00,0.00,0.00,97.60,72.90,62.00,62.80,67.50,58.40
TUR,0.00,0.00,0.00,0.00,0.00,62.10,52.70,59.00,63.90
